10.03.2025 08:25:54 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
10.03.2025 08:25:54 | CateringServiceStub | INFO | Получение типов питания (заглушка)
10.03.2025 08:25:54 | TicketService | INFO | Билет 25674fc1-4970-46f5-9be8-83b180f52271 успешно куплен.
10.03.2025 08:26:12 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
10.03.2025 08:26:12 | CateringServiceStub | INFO | Получение типов питания (заглушка)
10.03.2025 08:26:12 | TicketService | INFO | Билет 0e074668-2445-4958-9cd2-4924cb08add2 успешно куплен.
10.03.2025 08:26:22 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
10.03.2025 08:26:22 | CateringServiceStub | INFO | Получение типов питания (заглушка)
10.03.2025 08:26:22 | TicketService | INFO | Билет 32096f1c-a469-46eb-90e2-580d2fed4fe9 успешно куплен.
10.03.2025 08:26:30 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
10.03.2025 08:26:30 | CateringServiceStub | INFO | Получение типов питания (заглушка)
10.03.2025 08:26:30 | TicketService | INFO | Билет c53db00a-fdd0-4a5e-929d-9ab9421523ec успешно куплен.
10.03.2025 08:26:32 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
10.03.2025 08:26:32 | CateringServiceStub | INFO | Получение типов питания (заглушка)
10.03.2025 08:26:38 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
10.03.2025 08:26:38 | CateringServiceStub | INFO | Получение типов питания (заглушка)
10.03.2025 08:26:38 | TicketService | INFO | Билет 2e54fab8-2228-457f-a5e5-e0e71214ab9a успешно куплен.
10.03.2025 08:26:42 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
10.03.2025 08:26:42 | CateringServiceStub | INFO | Получение типов питания (заглушка)
10.03.2025 08:26:42 | TicketService | INFO | Билет 7bad9912-cc2e-47c1-b8fa-b3ffb46504f2 успешно куплен.
10.03.2025 08:26:47 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
10.03.2025 08:26:47 | CateringServiceStub | INFO | Получение типов питания (заглушка)
10.03.2025 08:26:47 | TicketService | INFO | Билет 6fec599f-d24d-41c3-a92f-7fa2b0d4653e успешно куплен.
10.03.2025 08:26:58 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
10.03.2025 08:26:58 | CateringServiceStub | INFO | Получение типов питания (заглушка)
10.03.2025 08:26:58 | TicketService | INFO | Билет 0de30b14-0e66-4d98-b2d4-a918f21e1f70 успешно куплен.
10.03.2025 08:27:04 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
10.03.2025 08:27:04 | CateringServiceStub | INFO | Получение типов питания (заглушка)
10.03.2025 08:27:04 | TicketService | INFO | Билет 304148fc-42c8-43be-a48b-7905d6da1381 успешно куплен.
10.03.2025 08:27:09 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
10.03.2025 08:28:31 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
10.03.2025 08:28:38 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
10.03.2025 08:28:57 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
10.03.2025 08:28:57 | CateringServiceStub | INFO | Получение типов питания (заглушка)
12.03.2025 16:42:11 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
12.03.2025 16:42:42 | CateringServiceStub | INFO | Получение типов питания (заглушка)
12.03.2025 16:42:57 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
12.03.2025 16:42:57 | CateringServiceStub | INFO | Получение типов питания (заглушка)
12.03.2025 16:42:57 | TicketService | INFO | Билет d98ad734-37b2-4913-b98b-0062816442a0 успешно куплен.
12.03.2025 16:43:10 | TableServiceStub | INFO | Получение списка доступных рейсов (заглушка)
12.03.2025 16:43:10 | CateringServiceStub | INFO | Получение типов питания (заглушка)
12.03.2025 16:43:10 | TicketService | INFO | Билет af22ab69-0e3f-467e-91a3-283d43763368 успешно куплен.
12.03.2025 16:43:38 | TicketService | INFO | Билет af22ab69-0e3f-467e-91a3-283d43763368 успешно возвращён.
